Linux 4.18.0-240.el8.x86_64 (dl360g10c) 	03/05/21 	_x86_64_	(24 CPU)

08:33:52          DEV       tps     rkB/s     wkB/s   areq-sz    aqu-sz     await     svctm     %util
08:34:03          sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:03         sda1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:03         sda2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:03         sda3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:03         sda4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:03         sda5      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:03          sdb      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:03          sr0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:03          sdc    380.00      0.00 387688.00   1020.23     26.10     69.18      2.60     98.90
08:34:03          sdd      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:03          sde    380.00      0.00 388480.00   1022.32     26.09     69.14      2.59     98.50
08:34:03          sdf      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:03       mpatha    760.00      0.00 776168.00   1021.27     52.35     69.39      1.32    100.60
08:34:03      mpatha1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:03      mpatha2    128.00      0.00 261736.00   2044.81      9.99     78.09      7.66     98.00
08:34:03      mpatha3    128.00      0.00 260096.00   2032.00      9.85     76.93      7.63     97.70
08:34:03      mpatha4    135.00      0.00 276480.00   2048.00     10.14     75.10      7.20     97.20
08:34:03        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:03        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:06          sda      1.33      0.00     40.17     30.12      0.00      0.25      0.75      0.10
08:34:06         sda1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:06         sda2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:06         sda3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:06         sda4      1.33      0.00     40.17     30.12      0.00      0.25      0.75      0.10
08:34:06         sda5      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:06          sdb      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:06          sr0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:06          sdc    386.33      0.00 394289.33   1020.59     25.58     66.72      2.55     98.67
08:34:06          sdd      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:06          sde    388.67      0.00 394928.00   1016.11     25.62     66.43      2.54     98.77
08:34:06          sdf      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:06       mpatha    774.00      0.00 789217.33   1019.66     51.35     66.85      1.29     99.83
08:34:06      mpatha1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:06      mpatha2    126.67      0.00 257232.00   2030.78      9.97     78.72      7.80     98.80
08:34:06      mpatha3    123.67      0.00 250522.67   2025.79      9.76     78.94      7.96     98.50
08:34:06      mpatha4    124.67      0.00 253822.67   2036.01      9.98     80.09      7.94     99.00
08:34:06        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:06        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:07          sda      1.00      0.00     16.00     16.00      0.00      0.00      1.00      0.10
08:34:07         sda1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:07         sda2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:07         sda3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:07         sda4      1.00      0.00     16.00     16.00      0.00      0.00      1.00      0.10
08:34:07         sda5      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:07          sdb      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:07          sr0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:07          sdc    386.00      0.00 395264.00   1024.00     25.51     66.58      2.59     99.90
08:34:07          sdd      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:07          sde    385.00      0.00 392792.00   1020.24     25.31     66.22      2.57     98.90
08:34:07          sdf      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:07       mpatha    771.00      0.00 788056.00   1022.12     50.94     66.55      1.29     99.80
08:34:07      mpatha1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:07      mpatha2    128.00      0.00 262144.00   2048.00     10.03     78.34      7.80     99.90
08:34:07      mpatha3    126.00      0.00 254552.00   2020.25      9.45     74.96      7.67     96.70
