Linux 4.18.0-240.el8.x86_64 (dl360g10c) 	03/05/21 	_x86_64_	(24 CPU)

12:06:55          DEV       tps     rkB/s     wkB/s   areq-sz    aqu-sz     await     svctm     %util
12:07:04          sdd      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:04          sde    376.00      0.00 382564.00   1017.46     13.90     37.45      2.57     96.80
12:07:04          sdf      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:04       mpatha    750.00      0.00 765476.00   1020.63     27.75     37.50      1.33     99.90
12:07:04      mpatha1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:04      mpatha2    123.00      0.00 247808.00   2014.70      5.85     47.54      7.84     96.40
12:07:04      mpatha3    126.00      0.00 255860.00   2030.63      6.06     48.06      7.79     98.20
12:07:04      mpatha4    121.00      0.00 247808.00   2048.00      5.84     48.26      8.02     97.10
12:07:04        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:04        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:05          sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:05         sda1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:05         sda2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:05         sda3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:05         sda4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:05         sda5      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:05          sdb      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:05          sr0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:05          sdc    373.00      0.00 381384.00   1022.48     13.80     37.50      2.59     96.60
12:07:05          sdd      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:05          sde    372.00      0.00 380064.00   1021.68     13.76     37.48      2.59     96.50
12:07:05          sdf      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:05       mpatha    745.00      0.00 761448.00   1022.08     27.71     37.71      1.34    100.20
12:07:05      mpatha1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:05      mpatha2    125.00      0.00 256000.00   2048.00      5.87     46.96      7.80     97.50
12:07:05      mpatha3    121.00      0.00 246944.00   2040.86      5.86     48.42      7.93     95.90
12:07:05      mpatha4    124.00      0.00 253384.00   2043.42      5.93     47.81      7.72     95.70
12:07:05        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:05        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:06          sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:06         sda1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:06         sda2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:06         sda3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:06         sda4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:06         sda5      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:06          sdb      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:06          sr0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:06          sdc    384.00      0.00 393216.00   1024.00     13.90     36.72      2.59     99.60
12:07:06          sdd      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:06          sde    385.00      0.00 394240.00   1024.00     13.96     36.82      2.61    100.40
12:07:06          sdf      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:06       mpatha    769.00      0.00 787456.00   1024.00     28.00     36.93      1.30     99.80
12:07:06      mpatha1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:06      mpatha2    128.00      0.00 262144.00   2048.00      5.85     45.71      7.73     98.90
12:07:06      mpatha3    127.00      0.00 260096.00   2048.00      5.84     46.02      7.92    100.60
12:07:06      mpatha4    137.00      0.00 280576.00   2048.00      6.32     46.09      7.31    100.20
12:07:06        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:06        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:07          sda      3.00      0.00    108.50     36.17      0.00      0.33      1.00      0.30
12:07:07         sda1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:07         sda2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:07         sda3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
